path,language,size_bytes,lines,chunks,note
codepack.py,python,11607,256,2,
README.md,markdown,2350,49,1,
.dockerignore,text,60,8,1,
docker-compose.yml,yaml,1409,61,1,
archsnap.py,python,10959,305,2,
frontend/index.html,html,362,13,1,
frontend/tailwind.config.js,javascript,378,20,1,
frontend/Dockerfile,text,401,21,1,
frontend/vite.config.js,javascript,418,18,1,
frontend/package.json,json,1294,46,1,
frontend/.eslintrc.js,javascript,676,32,1,
frontend/src/App.tsx,typescript,365,14,1,
frontend/src/main.tsx,typescript,281,12,1,
archsnap_out/summary.yaml,yaml,218,13,1,
archsnap_out/deps_backend.txt,text,195,3,1,
archsnap_out/deps_frontend.txt,text,67,4,1,
archsnap_out/arch.md,markdown,3785,135,1,
archsnap_out/tree.txt,text,3147,94,1,
archsnap_out/tree.json,json,11241,488,2,
analyzer-portrait-of-talents/requirements.txt,text,93,6,1,
analyzer-portrait-of-talents/Dockerfile,text,245,14,1,
analyzer-portrait-of-talents/analyzer.py,python,123175,1381,11,
analyzer-portrait-of-talents/main.py,python,1216,41,1,
backend/Dockerfile,text,318,21,1,
backend/package.json,json,566,27,1,
backend/.eslintrc.js,javascript,419,17,1,
backend/init-db.sql,sql,299,6,1,
backend/migrations/03_create_employees_table.sql,sql,321,12,1,
backend/src/server.js,javascript,306,10,1,
backend/src/app.js,javascript,1729,56,1,
backend/src/middleware/checkRole.js,javascript,203,9,1,
backend/src/middleware/authenticateToken.js,javascript,581,21,1,
backend/src/middleware/rateLimit.js,javascript,297,10,1,
backend/src/middleware/auth.js,javascript,0,1,1,
backend/src/middleware/errorHandler.js,javascript,0,1,1,
backend/src/middleware/validation.js,javascript,0,1,1,
backend/src/middleware/validate.js,javascript,745,28,1,
backend/src/config/logger.js,javascript,1024,37,1,
backend/src/config/db.js,javascript,980,31,1,
backend/src/config/crypto.config.js,javascript,815,21,1,
backend/src/utils/pagination.js,javascript,216,8,1,
backend/src/utils/encryption.service.js,javascript,2119,67,1,
backend/src/models/SurveyResult.js,javascript,1552,42,1,
backend/src/models/SurveyResponse.js,javascript,888,29,1,
backend/src/models/SurveyAssignment.js,javascript,2602,72,1,
backend/src/models/User.js,javascript,3708,115,1,
backend/src/models/Company.js,javascript,2471,84,1,
backend/src/models/SurveyTemplate.js,javascript,2778,97,1,
backend/src/models/Employee.js,javascript,8063,225,1,
backend/src/controllers/surveyTemplate.controller.js,javascript,2771,82,1,
backend/src/controllers/employee.controller.js,javascript,3035,80,1,
backend/src/controllers/auth.controller.js,javascript,2457,92,1,
backend/src/controllers/company.controller.js,javascript,2610,82,1,
backend/src/routes/auth.routes.js,javascript,471,11,1,
backend/src/routes/companies.routes.js,javascript,913,19,1,
backend/src/routes/employees.routes.js,javascript,756,17,1,
backend/src/routes/survey.routes.js,javascript,7625,178,1,
backend/src/routes/surveyTemplates.routes.js,javascript,977,19,1,
backend/src/services/notification.service.js,javascript,4724,109,1,
docs/technical_requirements.txt,text,213781,1,4,
docs/total_plan.txt,text,17404,328,2,
docs/frontend_plan.txt,text,10561,66,1,
docs/usefull.txt,text,0,1,1,
.github/workflows/ci-backend.yml,yaml,1277,60,1,
.github/workflows/ci-frontend.yml,yaml,777,41,1,
